filepath,dataset,speaker,emotion,label
C:\UserData\Kaustav\python projects\GitaVani\dataset\raw\ravdess\archive\Actor_01\03-01-02-01-01-01-01.wav,RAVDESS,01,calm,0
C:\UserData\Kaustav\python projects\GitaVani\dataset\raw\ravdess\archive\Actor_01\03-01-02-01-01-02-01.wav,RAVDESS,01,calm,0
C:\UserData\Kaustav\python projects\GitaVani\dataset\raw\ravdess\archive\Actor_01\03-01-02-01-02-01-01.wav,RAVDESS,01,calm,0
C:\UserData\Kaustav\python projects\GitaVani\dataset\raw\ravdess\archive\Actor_01\03-01-02-01-02-02-01.wav,RAVDESS,01,calm,0
C:\UserData\Kaustav\python projects\GitaVani\dataset\raw\ravdess\archive\Actor_01\03-01-02-02-01-01-01.wav,RAVDESS,01,calm,0
C:\UserData\Kaustav\python projects\GitaVani\dataset\raw\ravdess\archive\Actor_01\03-01-02-02-01-02-01.wav,RAVDESS,01,calm,0
C:\UserData\Kaustav\python projects\GitaVani\dataset\raw\ravdess\archive\Actor_01\03-01-02-02-02-01-01.wav,RAVDESS,01,calm,0
C:\UserData\Kaustav\python projects\GitaVani\dataset\raw\ravdess\archive\Actor_01\03-01-02-02-02-02-01.wav,RAVDESS,01,calm,0
C:\UserData\Kaustav\python projects\GitaVani\dataset\raw\ravdess\archive\Actor_01\03-01-03-01-01-01-01.wav,RAVDESS,01,joy,1
C:\UserData\Kaustav\python projects\GitaVani\dataset\raw\ravdess\archive\Actor_01\03-01-03-01-01-02-01.wav,RAVDESS,01,joy,1
C:\UserData\Kaustav\python projects\GitaVani\dataset\raw\ravdess\archive\Actor_01\03-01-03-01-02-01-01.wav,RAVDESS,01,joy,1
C:\UserData\Kaustav\python projects\GitaVani\dataset\raw\ravdess\archive\Actor_01\03-01-03-01-02-02-01.wav,RAVDESS,01,joy,1
C:\UserData\Kaustav\python projects\GitaVani\dataset\raw\ravdess\archive\Actor_01\03-01-03-02-01-01-01.wav,RAVDESS,01,joy,1
C:\UserData\Kaustav\python projects\GitaVani\dataset\raw\ravdess\archive\Actor_01\03-01-03-02-01-02-01.wav,RAVDESS,01,joy,1
C:\UserData\Kaustav\python projects\GitaVani\dataset\raw\ravdess\archive\Actor_01\03-01-03-02-02-01-01.wav,RAVDESS,01,joy,1
C:\UserData\Kaustav\python projects\GitaVani\dataset\raw\ravdess\archive\Actor_01\03-01-03-02-02-02-01.wav,RAVDESS,01,joy,1
C:\UserData\Kaustav\python projects\GitaVani\dataset\raw\ravdess\archive\Actor_01\03-01-04-01-01-01-01.wav,RAVDESS,01,sadness,2
C:\UserData\Kaustav\python projects\GitaVani\dataset\raw\ravdess\archive\Actor_01\03-01-04-01-01-02-01.wav,RAVDESS,01,sadness,2
C:\UserData\Kaustav\python projects\GitaVani\dataset\raw\ravdess\archive\Actor_01\03-01-04-01-02-01-01.wav,RAVDESS,01,sadness,2
C:\UserData\Kaustav\python projects\GitaVani\dataset\raw\ravdess\archive\Actor_01\03-01-04-01-02-02-01.wav,RAVDESS,01,sadness,2
C:\UserData\Kaustav\python projects\GitaVani\dataset\raw\ravdess\archive\Actor_01\03-01-04-02-01-01-01.wav,RAVDESS,01,sadness,2
C:\UserData\Kaustav\python projects\GitaVani\dataset\raw\ravdess\archive\Actor_01\03-01-04-02-01-02-01.wav,RAVDESS,01,sadness,2
C:\UserData\Kaustav\python projects\GitaVani\dataset\raw\ravdess\archive\Actor_01\03-01-04-02-02-01-01.wav,RAVDESS,01,sadness,2
C:\UserData\Kaustav\python projects\GitaVani\dataset\raw\ravdess\archive\Actor_01\03-01-04-02-02-02-01.wav,RAVDESS,01,sadness,2
C:\UserData\Kaustav\python projects\GitaVani\dataset\raw\ravdess\archive\Actor_01\03-01-05-01-01-01-01.wav,RAVDESS,01,anger,3
C:\UserData\Kaustav\python projects\GitaVani\dataset\raw\ravdess\archive\Actor_01\03-01-05-01-01-02-01.wav,RAVDESS,01,anger,3
C:\UserData\Kaustav\python projects\GitaVani\dataset\raw\ravdess\archive\Actor_01\03-01-05-01-02-01-01.wav,RAVDESS,01,anger,3
C:\UserData\Kaustav\python projects\GitaVani\dataset\raw\ravdess\archive\Actor_01\03-01-05-01-02-02-01.wav,RAVDESS,01,anger,3
C:\UserData\Kaustav\python projects\GitaVani\dataset\raw\ravdess\archive\Actor_01\03-01-05-02-01-01-01.wav,RAVDESS,01,anger,3
C:\UserData\Kaustav\python projects\GitaVani\dataset\raw\ravdess\archive\Actor_01\03-01-05-02-01-02-01.wav,RAVDESS,01,anger,3
C:\UserData\Kaustav\python projects\GitaVani\dataset\raw\ravdess\archive\Actor_01\03-01-05-02-02-01-01.wav,RAVDESS,01,anger,3
C:\UserData\Kaustav\python projects\GitaVani\dataset\raw\ravdess\archive\Actor_01\03-01-05-02-02-02-01.wav,RAVDESS,01,anger,3
C:\UserData\Kaustav\python projects\GitaVani\dataset\raw\ravdess\archive\Actor_01\03-01-06-01-01-01-01.wav,RAVDESS,01,fear,4
C:\UserData\Kaustav\python projects\GitaVani\dataset\raw\ravdess\archive\Actor_01\03-01-06-01-01-02-01.wav,RAVDESS,01,fear,4
C:\UserData\Kaustav\python projects\GitaVani\dataset\raw\ravdess\archive\Actor_01\03-01-06-01-02-01-01.wav,RAVDESS,01,fear,4
C:\UserData\Kaustav\python projects\GitaVani\dataset\raw\ravdess\archive\Actor_01\03-01-06-01-02-02-01.wav,RAVDESS,01,fear,4
C:\UserData\Kaustav\python projects\GitaVani\dataset\raw\ravdess\archive\Actor_01\03-01-06-02-01-01-01.wav,RAVDESS,01,fear,4
C:\UserData\Kaustav\python projects\GitaVani\dataset\raw\ravdess\archive\Actor_01\03-01-06-02-01-02-01.wav,RAVDESS,01,fear,4
C:\UserData\Kaustav\python projects\GitaVani\dataset\raw\ravdess\archive\Actor_01\03-01-06-02-02-01-01.wav,RAVDESS,01,fear,4
C:\UserData\Kaustav\python projects\GitaVani\dataset\raw\ravdess\archive\Actor_01\03-01-06-02-02-02-01.wav,RAVDESS,01,fear,4
C:\UserData\Kaustav\python projects\GitaVani\dataset\raw\ravdess\archive\Actor_02\03-01-02-01-01-01-02.wav,RAVDESS,02,calm,0
C:\UserData\Kaustav\python projects\GitaVani\dataset\raw\ravdess\archive\Actor_02\03-01-02-01-01-02-02.wav,RAVDESS,02,calm,0
C:\UserData\Kaustav\python projects\GitaVani\dataset\raw\ravdess\archive\Actor_02\03-01-02-01-02-01-02.wav,RAVDESS,02,calm,0
C:\UserData\Kaustav\python projects\GitaVani\dataset\raw\ravdess\archive\Actor_02\03-01-02-01-02-02-02.wav,RAVDESS,02,calm,0
C:\UserData\Kaustav\python projects\GitaVani\dataset\raw\ravdess\archive\Actor_02\03-01-02-02-01-01-02.wav,RAVDESS,02,calm,0
C:\UserData\Kaustav\python projects\GitaVani\dataset\raw\ravdess\archive\Actor_02\03-01-02-02-01-02-02.wav,RAVDESS,02,calm,0
C:\UserData\Kaustav\python projects\GitaVani\dataset\raw\ravdess\archive\Actor_02\03-01-02-02-02-01-02.wav,RAVDESS,02,calm,0
C:\UserData\Kaustav\python projects\GitaVani\dataset\raw\ravdess\archive\Actor_02\03-01-02-02-02-02-02.wav,RAVDESS,02,calm,0
C:\UserData\Kaustav\python projects\GitaVani\dataset\raw\ravdess\archive\Actor_02\03-01-03-01-01-01-02.wav,RAVDESS,02,joy,1
C:\UserData\Kaustav\python projects\GitaVani\dataset\raw\ravdess\archive\Actor_02\03-01-03-01-01-02-02.wav,RAVDESS,02,joy,1
C:\UserData\Kaustav\python projects\GitaVani\dataset\raw\ravdess\archive\Actor_02\03-01-03-01-02-01-02.wav,RAVDESS,02,joy,1
C:\UserData\Kaustav\python projects\GitaVani\dataset\raw\ravdess\archive\Actor_02\03-01-03-01-02-02-02.wav,RAVDESS,02,joy,1
C:\UserData\Kaustav\python projects\GitaVani\dataset\raw\ravdess\archive\Actor_02\03-01-03-02-01-01-02.wav,RAVDESS,02,joy,1
C:\UserData\Kaustav\python projects\GitaVani\dataset\raw\ravdess\archive\Actor_02\03-01-03-02-01-02-02.wav,RAVDESS,02,joy,1
C:\UserData\Kaustav\python projects\GitaVani\dataset\raw\ravdess\archive\Actor_02\03-01-03-02-02-01-02.wav,RAVDESS,02,joy,1
C:\UserData\Kaustav\python projects\GitaVani\dataset\raw\ravdess\archive\Actor_02\03-01-03-02-02-02-02.wav,RAVDESS,02,joy,1
C:\UserData\Kaustav\python projects\GitaVani\dataset\raw\ravdess\archive\Actor_02\03-01-04-01-01-01-02.wav,RAVDESS,02,sadness,2
